Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Андріїшин,Розалія,Михайлівна,Жіноча,28.02.1990,Лікар,хутір Петрово-Красносілля,"проспект Чорноморський, буд. 264, Пустомити, 81110",+380 (35) 809-29-71,fskyba@example.net
Тесленко,Камілла,Володимирівна,Жіноча,17.06.2000,Вчитель,селище Ржищів,"узвіз Пересипська 10-та, буд. 09, Феодосія, 92435",209 15 59,tykhyitrokhym@example.net
Бабич,Ада,Іванівна,Жіноча,15.05.1953,Модельєр,село Добромиль,"узвіз Асташкіна, буд. 6 кв. 2, Підгородне, 14960",027 967-68-21,iefrem87@example.org
Ґерус,Оксенія,Володимирівна,Жіноча,01.03.1991,Економіст,хутір Новий Розділ,"проспект Проїзний 1-й, буд. 8 кв. 10, Білогірськ, 49351",+380 32 801-01-62,ozhalilo@example.com
Литвин,Тетяна,Вікторівна,Жіноча,22.07.1940,М'ясник,місто Берестечко,"шосе Маячний, буд. 099, Бунге , 81889",022 551-44-78,opanasenkoorest@example.com
Рябченко,Христина,Володимирівна,Жіноча,15.09.1945,Складальник,селище Турка,"шосе Професора Каришковського, буд. 598, Дружба , 98515",+380 23 428-52-40,protsenkosolomiia@example.net
Козак,Одарка,Іванівна,Жіноча,06.08.1980,Державний службовець,хутір Первомайськ,"шосе Лінія 38-ма, буд. 379 кв. 2, Слов'янськ, 02545",+380 60 422-11-13,parmen07@example.org
Бевзенко,Ірена,Володимирівна,Жіноча,06.03.1938,Головний меркшейдер,селище Ржищів,"вулиця Церковна, буд. 85, Зборів, 68504",+380 42 452-88-77,onyshchenkolarysa@example.com
Макаренко,Ярина,Вікторівна,Жіноча,21.11.1983,Шериф,селище Львів,"вулиця Лютневий 1-й, буд. 119 кв. 285, Бар, 38100",+380 08 834-80-24,chaikaonysym@example.com
Ткач,Марія,Сергіївна,Жіноча,09.01.1997,Водій,місто Умань,"парк Лінія 41-ша, буд. 59 кв. 725, Чугуїв, 85606",+380 93 586-49-02,aalekseienko@example.net
Малик,Ярослава,Петрівна,Жіноча,04.10.1980,Локсмайстер,місто Белз,"площа Партизанської Слави, буд. 088 кв. 01, Рені, 10510",908 33 20,xskoryk@example.org
Скорик,Марʼяна,Іванівна,Жіноча,03.01.1958,Слідчий,селище Кілія,"узвіз Пересипська 1-ша, буд. 5 кв. 33, Черкаси, 37441",+380 76 964 50 55,iaremakharchenko@example.org
Давимука,Ольга,Дмитрівна,Жіноча,17.03.1961,Флорист,село Прилуки,"шосе Лузанівський 2-й, буд. 42 кв. 35, Авдіївка, 16841",137 21 85,olhaveres@example.com
Терещук,Віра,Олександрівна,Жіноча,06.01.1952,Модель,селище Судак ,"набережна Амурський 3-й, буд. 72 кв. 9, Фастів, 71197",340 54 41,piashchuk@example.org
Ковалюк,Оксана,Іванівна,Жіноча,18.01.1993,Мовознавець,село Ланівці,"сквер Шовкуненка, буд. 262 кв. 515, Снятин, 43711",+380 95 832-91-72,valentyniukhymenko@example.net
Бабиченко,Ірена,Андріївна,Жіноча,24.04.2004,Програміст,хутір Сімферополь,"сквер Рівності, буд. 99 кв. 860, Вижниця, 37445",098 757-61-27,oandriievych@example.com
Затовканюк,Олена,Володимирівна,Жіноча,21.07.1973,Конструктор,селище Часів Яр,"узвіз Бориса Літвака, буд. 308 кв. 2, Луцьк, 57262",037 804-56-17,udovenkohennadii@example.com
Андрейко,Надія,Петрівна,Жіноча,02.07.1986,Кіноактор,хутір Шпола,"площа Ветеранів праці, буд. 87, Родинське, 10959",052 734-31-56,larysahuzenko@example.org
Сіробаба,Анастасія,Федорівна,Жіноча,02.08.2004,Ріелтор,селище Жидачів,"узвіз Станційна 1-ша, буд. 587, Ізяслав, 70148",088 455-08-84,tperepelytsia@example.org
Штепа,Віолетта,Іванівна,Жіноча,18.09.1976,Кухар,село Перевальськ,"шосе Китобійний 2-й, буд. 36, Жмеринка, 42579",096 371-83-00,mykolai19@example.com
Гаврилишин,Сніжана,Сергіївна,Жіноча,07.11.2005,Випробувач,село Миргород,"набережна Тимірязєва 5-й, буд. 64 кв. 98, Довжанськ, 94631",082 515-81-38,vadymavramenko@example.net
Слюсар,Маруся,Дмитрівна,Жіноча,04.06.1967,Головний меркшейдер,селище Чоп,"сквер Кришталева, буд. 10 кв. 492, Білогірськ, 67722",+380 56 557-15-68,orysia89@example.net
Бабій,Олена,Сергіївна,Жіноча,29.11.1965,Пілот,селище Куп'янськ,"проспект Палубна, буд. 721 кв. 66, Щолкіне, 80817",+380 (56) 725-73-79,xhuk@example.com
Сич,Ганна,Іванівна,Жіноча,06.06.1966,Гірник,селище Очаків,"узвіз Гоголя, буд. 1, Ямпіль, 25608",+380 87 820-90-95,anastasiia23@example.com
Ткаченко,Наталія,Вікторівна,Жіноча,09.11.1983,Ювелір,село Джанкой,"шосе Наявний 5-й, буд. 9 кв. 22, Гуляйполе, 65760",681-68-92,artiukhsvitlana@example.org
Тичина,Михайлина,Федорівна,Жіноча,29.12.1965,Випробувач,селище Покровськ,"провулок Чорноморський 12-й, буд. 21 кв. 166, Радивилів, 55346",+380 54 481-73-76,vasyl93@example.net
Ільченко,Єва,Федорівна,Жіноча,14.06.1985,Намотувальник,хутір Овруч,"парк Морський 2-й, буд. 7 кв. 120, Гайворон, 13989",493-58-44,valeriihavryliv@example.org
Фесенко,Еріка,Вікторівна,Жіноча,04.07.1993,Бібліотекар,місто Звенигородка,"сквер Приморська, буд. 1 кв. 70, Хмельницький, 27144",039 913-24-96,serhii97@example.net
Данченко,Надія,Сергіївна,Жіноча,17.07.1976,Кушнір,хутір Дружківка,"набережна Красносільська, буд. 38, Рудки, 84066",007 898 76 12,avrelii20@example.com
Гречаник,Едита,Петрівна,Жіноча,21.08.1991,Державний службовець,місто Енергодар,"парк Український 1-й, буд. 481 кв. 511, Заводське, 24357",+380 66 336-00-96,bohuslav57@example.net
